#Left_Row,Left_Column,Right_Column,Latency(ms)
15000,45000,15000,66461
15000,15000,45000,62585.5
45000,15000,15000,64028
216333,21633,21633,61368
30000,128,60000,16743.5
6130,6130,6130,3186
15178,1000,15178,3857
6788,5000,6788,3010
4800,10000,4800,3015
3394,20000,3394,3349
3035,25000,3035,3561
2565,35000,2565,3928
2164,50000,2164,4388
1517,100000,151,5651
1073,200000,1073,7216
876,300000,876,8525
4000,128,450000,16638
42426,128,42426,16398
450000,128,4000,16893
45000,15000,45000,169543.5
31201,31201,31201,169544
30000,15000,67500,172769
1094,1094,1094,733
128,128,80000,846
